File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\candidatetest\CandidateTestComparator.java,19,14,9,4,5,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\candidatetest\CandidateTestProcessor.java,78,62,51,4,13,0,3,22,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\AbstractModelObjective.java,55,39,27,5,16,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\AbstractTestObjective.java,18,12,9,1,6,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\AbstractTestSetObjective.java,19,13,10,1,6,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\IObjective.java,13,7,6,0,6,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\ObjectiveRegistry.java,35,25,18,4,10,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\TestObjectiveProcessor.java,51,38,32,3,13,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\model\AllTestExampleObjective.java,34,25,16,4,9,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\objective\model\CountSinkStatesObjective.java,50,38,25,9,12,0,0,0,0,0
